idItem,name,genero_nominal,anyo_numerical,pais_nominal,director_nominal
33,"Wings of Courage (1995)","Adventure",1995,"USA","Jean-Jacques Annaud"
34,"Babe (1995)","Adventure",1995,"Australia","Chris Noonan"
35,"Carrington (1995)","Biography",1995,"UK","Christopher Hampton"
36,"Dead Man Walking (1995)","Crime",1995,"UK","Tim Robbins"
37,"Across the Sea of Time (1995)","Adventure",1995,"USA","Stephen Low"
38,"It Takes Two (1995)","Comedy",1995,"USA","Andy Tennant"
39,"Clueless (1995)","Comedy",1995,"USA","Amy Heckerling"
40,"Cry, the Beloved Country (1995)","Drama",1995,"South Africa","Darrell Roodt"
41,"Richard III (1995)","Drama",1995,"UK","Richard Loncraine"
42,"Dead Presidents (1995)","Crime",1995,"USA","Albert Hughes"
43,"Restoration (1995)","Biography",1995,"USA","Michael Hoffman"
44,"Mortal Kombat (1995)","Action",1995,"USA","Paul W.S. Anderson"
45,"To Die For (1995)","Comedy",1995,"UK","Gus Van Sant"
46,"How to Make an American Quilt (1995)","Comedy",1995,"USA","Jocelyn Moorhouse"
47,"Seven (a.k.a. Se7en) (1995)","Crime",1995,"USA","David Fincher"
48,"Pocahontas (1995)","Animation",1995,"USA","Mike Gabriel"
49,"When Night Is Falling (1995)","Drama",1995,"Canada","Patricia Rozema"
50,"Usual Suspects, The (1995)","Crime",1995,"USA","Bryan Singer"
51,"Guardian Angel (1994)","Action",1994,"USA","Richard W. Munchkin"
52,"Mighty Aphrodite (1995)","Comedy",1995,"USA","Woody Allen"
53,"Lamerica (1994)","Drama",1994,"Italy","Gianni Amelio"
54,"Big Green, The (1995)","Comedy",1995,"USA","Holly Goldberg Sloan"
55,"Georgia (1995)","Drama",1995,"USA","Ulu Grosbard"
56,"Kids of the Round Table (1997)","Family",1997,"USA","Robert Tinnell"
57,"Home for the Holidays (1995)","Comedy",1995,"USA","Jodie Foster"
58,"Postman, The (Postino, Il) (1994)","Biography",1994,"Italy","Michael Radford"
59,"Confessional, The (Confessionnal, Le) (1995)","Drama",1995,"Canada","Robert Lepage"
60,"Indian in the Cupboard, The (1995)","Family",1995,"USA","Frank Oz"
61,"Eye for an Eye (1996)","Crime",1996,"USA","John Schlesinger"
64,"Two if by Sea (1996)","Comedy",1996,"USA","Bill Bennett"
65,"Bio-Dome (1996)","Comedy",1996,"USA","Jason Bloom"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)","Action",1996,"USA","Farhad Mann"
67,"Two Bits (1995)","Drama",1995,"USA","James Foley"
69,"Friday (1995)","Comedy",1995,"USA","F. Gary Gray"
70,"From Dusk Till Dawn (1996)","Action",1996,"USA","Robert Rodriguez"
71,"Fair Game (1995)","Action",1995,"USA","Andrew Sipes"
72,"Kicking and Screaming (1995)","Comedy",1995,"USA","Noah Baumbach"
73,"Miserables, Les (1995)","Drama",1995,"France","Claude Lelouch"
74,"Bed of Roses (1996)","Romance",1996,"USA","Michael Goldenberg"
75,"Big Bully (1996)","Comedy",1996,"USA","Steve Miner"
76,"Screamers (1995)","Action",1995,"Canada","Christian Duguay"
77,"Nico Icon (1995)","Documentary",1995,"Germany","Susanne Ofteringer"
78,"Crossing Guard, The (1995)","Drama",1995,"USA","Sean Penn"
79,"Juror, The (1996)","Drama",1996,"USA","Brian Gibson"
83,"Once Upon a Time... When We Were Colored (1995)","Drama",1995,"USA","Tim Reid"
84,"Last Summer in the Hamptons (1995)","Comedy",1995,"USA","Henry Jaglom"
85,"Angels and Insects (1995)","Drama",1995,"USA","Philip Haas"
86,"White Squall (1996)","Adventure",1996,"USA","Ridley Scott"
87,"Dunston Checks In (1996)","Comedy",1996,"USA","Ken Kwapis"
88,"Black Sheep (1996)","Comedy",1996,"USA","Penelope Spheeris"
89,"Nick of Time (1995)","Crime",1995,"USA","John Badham"
90,"Journey of August King, The (1995)","Drama",1995,"USA","John Duigan"
92,"Mary Reilly (1996)","Drama",1996,"USA","Stephen Frears"
93,"Vampire in Brooklyn (1995)","Comedy",1995,"USA","Wes Craven"
94,"Beautiful Girls (1996)","Drama",1996,"USA","Ted Demme"
95,"Broken Arrow (1996)","Action",1996,"USA","John Woo"
96,"In the Bleak Midwinter (1995)","Comedy",1995,"UK","Kenneth Branagh"
97,"Hate (Haine, La) (1995)","Crime",1995,"France","Mathieu Kassovitz"
98,"Shopping (1994)","Action",1994,"UK","Paul W.S. Anderson"
99,"Heidi Fleiss: Hollywood Madam (1995)","Documentary",1995,"UK","Nick Broomfield"
100,"City Hall (1996)","Drama",1996,"USA","Harold Becker"
101,"Bottle Rocket (1996)","Comedy",1996,"USA","Wes Anderson"
102,"Mr. Wrong (1996)","Comedy",1996,"USA","Nick Castle"
103,"Unforgettable (1996)","Sci-Fi",1996,"USA","John Dahl"
104,"Happy Gilmore (1996)","Comedy",1996,"USA","Dennis Dugan"
105,"Bridges of Madison County, The (1995)","Drama",1995,"USA","Clint Eastwood"
106,"Nobody Loves Me (Keiner liebt mich) (1994)","Comedy",1994,"Germany","Doris D&#xF6;rrie"
107,"Muppet Treasure Island (1996)","Adventure",1996,"USA","Brian Henson"
108,"Catwalk (1996)","Documentary",1996,"USA","Robert Leacock"
109,"Headless Body in Topless Bar (1995)","Drama",1995,"USA","James Bruce"
110,"Braveheart (1995)","Action",1995,"USA","Mel Gibson"
111,"Taxi Driver (1976)","Drama",1976,"USA","Martin Scorsese"
112,"Rumble in the Bronx (Hont faan kui) (1995)","Comedy",1995,"Hong Kong","Stanley Tong"
113,"Before and After (1996)","Drama",1996,"USA","Barbet Schroeder"
116,"Anne Frank Remembered (1995)","Documentary",1995,"UK","Jon Blair"
118,"If Lucy Fell (1996)","Comedy",1996,"USA","Eric Schaeffer"
119,"Steal Big, Steal Little (1995)","Comedy",1995,"USA","Andrew Davis"
120,"Race the Sun (1996)","Drama",1996,"USA","Charles T. Kanganis"
121,"Boys of St. Vincent, The (1992)","Drama",1992,"Canada","John N. Smith"
122,"Boomerang (1992)","Comedy",1992,"USA","Reginald Hudlin"
123,"Chungking Express (Chung Hing sam lam) (1994)","Comedy",1994,"Hong Kong","Kar Wai Wong"
125,"Flirting With Disaster (1996)","Comedy",1996,"USA","David O. Russell"
126,"NeverEnding Story III, The (1994)","Adventure",1994,"Germany","Peter MacDonald"
127,"Silence of the Palace, The (Saimt el Qusur) (1994)","Drama",1994,"France","Moufida Tlatli"
129,"Pie in the Sky (1996)","Comedy",1996,"USA","Bryan Gordon"
130,"Angela (1995)","Drama",1995,"USA","Rebecca Miller"
131,"Frankie Starlight (1995)","Drama",1995,"France","Michael Lindsay-Hogg"
132,"Jade (1995)","Action",1995,"USA","William Friedkin"
133,"Nueba Yol (1995)","Comedy",1995,"Dominican Republic","&#xC1;ngel Mu&#xF1;iz"
134,"Sonic Outlaws (1995)","Documentary",1995,"USA","Craig Baldwin"
135,"Down Periscope (1996)","Comedy",1996,"USA","David S. Ward"
136,"From the Journals of Jean Seberg (1995)","Documentary",1995,"USA","Mark Rappaport"
137,"Man of the Year (1995)","Comedy",1995,"USA","Dirk Shafer"
138,"Neon Bible, The (1995)","Drama",1995,"UK","Terence Davies"
139,"Target (1995)","Drama",1995,"India","Sandip Ray"
140,"Up Close and Personal (1996)","Drama",1996,"USA","Jon Avnet"
141,"Birdcage, The (1996)","Comedy",1996,"USA","Mike Nichols"
142,"Shadows (Cienie) (1988)","War",1988,"Poland","Jerzy Kaszubowski"
143,"Gospa (1995)","Drama",1995,"Croatia","Jakov Sedlar"
144,"Brothers McMullen, The (1995)","Comedy",1995,"USA","Edward Burns"
145,"Bad Boys (1995)","Action",1995,"USA","Michael Bay"
146,"Amazing Panda Adventure, The (1995)","Family",1995,"USA","Christopher Cain"
147,"Basketball Diaries, The (1995)","Biography",1995,"USA","Scott Kalvert"
148,"Awfully Big Adventure, An (1995)","Comedy",1995,"UK","Mike Newell"
149,"Amateur (1994)","Comedy",1994,"USA","Hal Hartley"
150,"Apollo 13 (1995)","Adventure",1995,"USA","Ron Howard"
151,"Rob Roy (1995)","Action",1995,"USA","Michael Caton-Jones"
152,"Addiction, The (1995)","Horror",1995,"USA","Abel Ferrara"
153,"Batman Forever (1995)","Action",1995,"USA","Joel Schumacher"
154,"Belle de jour (1967)","Drama",1967,"France","Luis Bu&#xF1;uel"
155,"Beyond Rangoon (1995)","Drama",1995,"UK","John Boorman"
156,"Blue in the Face (1995)","Comedy",1995,"USA","Paul Auster"
157,"Canadian Bacon (1995)","Comedy",1995,"USA","Michael Moore"
158,"Casper (1995)","Comedy",1995,"USA","Brad Silberling"
159,"Clockers (1995)","Drama",1995,"USA","Spike Lee"
160,"Congo (1995)","Action",1995,"USA","Frank Marshall"
161,"Crimson Tide (1995)","Action",1995,"USA","Tony Scott"
162,"Crumb (1994)","Documentary",1994,"USA","Terry Zwigoff"
163,"Desperado (1995)","Action",1995,"USA","Robert Rodriguez"
164,"Devil in a Blue Dress (1995)","Crime",1995,"USA","Carl Franklin"
165,"Die Hard: With a Vengeance (1995)","Action",1995,"USA","John McTiernan"
166,"Doom Generation, The (1995)","Action",1995,"USA","Gregg Araki"
167,"Feast of July (1995)","Crime",1995,"USA","Christopher Menaul"
168,"First Knight (1995)","Adventure",1995,"USA","Jerry Zucker"
169,"Free Willy 2: The Adventure Home (1995)","Family",1995,"France","Dwight H. Little"
170,"Hackers (1995)","Action",1995,"USA","Iain Softley"
171,"Jeffrey (1995)","Comedy",1995,"USA","Christopher Ashley"
172,"Johnny Mnemonic (1995)","Action",1995,"Canada","Robert Longo"
173,"Judge Dredd (1995)","Action",1995,"USA","Danny Cannon"
174,"Jury Duty (1995)","Comedy",1995,"USA","John Fortenberry"
175,"Kids (1995)","Crime",1995,"USA","Larry Clark"
176,"Living in Oblivion (1995)","Comedy",1995,"USA","Tom DiCillo"
177,"Lord of Illusions (1995)","Fantasy",1995,"USA","Clive Barker"
178,"Love & Human Remains (1993)","Drama",1993,"Canada","Denys Arcand"
179,"Mad Love (1995)","Drama",1995,"USA","Antonia Bird"
180,"Mallrats (1995)","Comedy",1995,"USA","Kevin Smith"
181,"Mighty Morphin Power Rangers: The Movie (1995)","Action",1995,"USA","Bryan Spicer"
182,"Moonlight and Valentino (1995)","Drama",1995,"UK","David Anspaugh"
183,"Mute Witness (1994)","Drama",1994,"Germany","Anthony Waller"
184,"Nadja (1994)","Drama",1994,"USA","Michael Almereyda"
185,"Net, The (1995)","Action",1995,"USA","Irwin Winkler"
186,"Nine Months (1995)","Comedy",1995,"USA","Chris Columbus"
187,"Party Girl (1995)","Comedy",1995,"USA","Daisy von Scherler Mayer"
188,"Prophecy, The (1995)","Horror",1995,"USA","Gregory Widen"
189,"Reckless (1995)","Comedy",1995,"USA","Norman Ren&#xE9;"
190,"Safe (1995)","Drama",1995,"UK","Todd Haynes"
191,"Scarlet Letter, The (1995)","Drama",1995,"USA","Roland Joff&#xE9;"
193,"Showgirls (1995)","Drama",1995,"France","Paul Verhoeven"
194,"Smoke (1995)","Comedy",1995,"Germany","Wayne Wang"
195,"Something to Talk About (1995)","Comedy",1995,"USA","Lasse Hallstr&#xF6;m"
196,"Species (1995)","Action",1995,"USA","Roger Donaldson"
197,"Stars Fell on Henrietta, The (1995)","Drama",1995,"USA","James Keach"
198,"Strange Days (1995)","Action",1995,"USA","Kathryn Bigelow"
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama",1964,"France","Jacques Demy"
200,"Tie That Binds, The (1995)","Drama",1995,"USA","Wesley Strick"
201,"Three Wishes (1995)","Drama",1995,"USA","Martha Coolidge"
202,"Total Eclipse (1995)","Biography",1995,"UK","Agnieszka Holland"
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Comedy",1995,"USA","Beeban Kidron"
204,"Under Siege 2: Dark Territory (1995)","Action",1995,"USA","Geoff Murphy"
205,"Unstrung Heroes (1995)","Comedy",1995,"USA","Diane Keaton"
206,"Unzipped (1995)","Documentary",1995,"USA","Douglas Keeve"
207,"Walk in the Clouds, A (1995)","Drama",1995,"USA","Alfonso Arau"
208,"Waterworld (1995)","Action",1995,"USA","Kevin Reynolds"
210,"Wild Bill (1995)","Action",1995,"USA","Walter Hill"
211,"Browning Version, The (1994)","Drama",1994,"UK","Mike Figgis"
212,"Bushwhacked (1995)","Comedy",1995,"France","Josiane Balasko"
213,"Burnt by the Sun (Utomlyonnye solntsem) (1994)","Comedy",1994,"Russia","Nikita Mikhalkov"
215,"Before Sunrise (1995)","Drama",1995,"USA","Richard Linklater"
216,"Billy Madison (1995)","Comedy",1995,"USA","Tamra Davis"
217,"Babysitter, The (1995)","Drama",1995,"USA","Guy Ferland"
218,"Boys on the Side (1995)","Comedy",1995,"USA","Herbert Ross"
219,"Cure, The (1995)","Drama",1995,"USA","Peter Horton"
220,"Castle Freak (1995)","Horror",1995,"USA","Stuart Gordon"
222,"Circle of Friends (1995)","Drama",1995,"Ireland","Pat O&#x27;Connor"
223,"Clerks (1994)","Comedy",1994,"USA","Kevin Smith"
224,"Don Juan DeMarco (1995)","Comedy",1995,"USA","Jeremy Leven"
225,"Disclosure (1994)","Drama",1994,"USA","Barry Levinson"
226,"Dream Man (1995)","Thriller",1995,"Canada","Ren&#xE9; Bonni&#xE8;re"
227,"Drop Zone (1994)","Action",1994,"USA","John Badham"
228,"Destiny Turns on the Radio (1995)","Crime",1995,"USA","Jack Baran"
229,"Death and the Maiden (1994)","Drama",1994,"UK","Roman Polanski"
230,"Dolores Claiborne (1995)","Drama",1995,"USA","Taylor Hackford"
231,"Dumb & Dumber (1994)","Comedy",1994,"USA","Peter Farrelly"
232,"Eat Drink Man Woman (Yin shi nan nu) (1994)","Comedy",1994,"Taiwan","Ang Lee"
233,"Exotica (1994)","Drama",1994,"Canada","Atom Egoyan"
234,"Exit to Eden (1994)","Comedy",1994,"USA","Garry Marshall"
235,"Ed Wood (1994)","Biography",1994,"USA","Tim Burton"
236,"French Kiss (1995)","Comedy",1995,"UK","Lawrence Kasdan"
237,"Forget Paris (1995)","Comedy",1995,"USA","Billy Crystal"
238,"Far From Home: The Adventures of Yellow Dog (1995)","Adventure",1995,"USA","Phillip Borsos"
239,"Goofy Movie, A (1995)","Animation",1995,"USA","Kevin Lima"
240,"Hideaway (1995)","Fantasy",1995,"USA","Brett Leonard"
241,"Fluke (1995)","Drama",1995,"USA","Carlo Carlei"
242,"Farinelli: il castrato (1994)","Biography",1994,"Belgium","G&#xE9;rard Corbiau"
243,"Gordy (1995)","Drama",1995,"USA","Mark Lewis"
244,"Gumby: The Movie (1995)","Animation",1995,"USA","Art Clokey"
245,"Glass Shield, The (1994)","Crime",1994,"France","Charles Burnett"
246,"Hoop Dreams (1994)","Documentary",1994,"USA","Steve James"
247,"Heavenly Creatures (1994)","Crime",1994,"UK","Peter Jackson"
248,"Houseguest (1994)","Comedy",1994,"USA","Randall Miller"
249,"Immortal Beloved (1994)","Biography",1994,"UK","Bernard Rose"
250,"Heavyweights (a.k.a. Heavy Weights) (1995)","Comedy",1995,"USA","Steven Brill"
251,"Hunted, The (1995)","Action",1995,"USA","J.F. Lawton"
252,"I.Q. (1994)","Comedy",1994,"USA","Fred Schepisi"
253,"Interview with the Vampire: The Vampire Chronicles (1994)","Drama",1994,"USA","Neil Jordan"
254,"Jefferson in Paris (1995)","Biography",1995,"France","James Ivory"
255,"Jerky Boys, The (1994)","Music",1994,"USA","Gary Halvorson"
256,"Junior (1994)","Comedy",1994,"USA","Ivan Reitman"
257,"Just Cause (1995)","Crime",1995,"USA","Arne Glimcher"
259,"Kiss of Death (1995)","Action",1995,"USA","Barbet Schroeder"
260,"Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977)","Action",1977,"USA","George Lucas"
261,"Little Women (1994)","Drama",1994,"USA","Gillian Armstrong"
262,"Little Princess, A (1995)","Drama",1995,"USA","Alfonso Cuar&#xF3;n"
263,"Ladybird Ladybird (1994)","Drama",1994,"UK","Ken Loach"
265,"Like Water for Chocolate (Como agua para chocolate) (1992)","Drama",1992,"Mexico","Alfonso Arau"
266,"Legends of the Fall (1994)","Drama",1994,"USA","Edward Zwick"
267,"Major Payne (1995)","Comedy",1995,"USA","Nick Castle"
268,"Little Odessa (1994)","Crime",1994,"USA","James Gray"
269,"My Crazy Life (Mi vida loca) (1993)","Drama",1993,"USA","Allison Anders"
270,"Love Affair (1994)","Drama",1994,"USA","Glenn Gordon Caron"
271,"Losing Isaiah (1995)","Drama",1995,"USA","Stephen Gyllenhaal"
272,"Madness of King George, The (1994)","Biography",1994,"UK","Nicholas Hytner"
274,"Man of the House (1995)","Comedy",1995,"USA","James Orr"
275,"Mixed Nuts (1994)","Comedy",1994,"USA","Nora Ephron"
276,"Milk Money (1994)","Comedy",1994,"USA","Richard Benjamin"
277,"Miracle on 34th Street (1994)","Drama",1994,"USA","Les Mayfield"
278,"Miami Rhapsody (1995)","Comedy",1995,"USA","David Frankel"
279,"My Family (1995)","Drama",1995,"USA","Gregory Nava"
280,"Murder in the First (1995)","Drama",1995,"France","Marc Rocco"
282,"Nell (1994)","Drama",1994,"USA","Michael Apted"
283,"New Jersey Drive (1995)","Crime",1995,"USA","Nick Gomez"
284,"New York Cop (Ny?â?? Y?â??ku no koppu) (1993)","Action",1993,"Japan","Toru Murakawa"
285,"Beyond Bedlam (1993)","Comedy",1993,"UK","Vadim Jean"
286,"Nemesis 2: Nebula (1995)","Action",1995,"USA","Albert Pyun"
287,"Nina Takes a Lover (1994)","Comedy",1994,"USA","Alan Jacobs"
288,"Natural Born Killers (1994)","Action",1994,"USA","Oliver Stone"
289,"Only You (1994)","Comedy",1994,"USA","Norman Jewison"
290,"Once Were Warriors (1994)","Drama",1994,"New Zealand","Lee Tamahori"
291,"Poison Ivy II (1996)","Drama",1996,"USA","Anne Goursaud"
292,"Outbreak (1995)","Drama",1995,"USA","Wolfgang Petersen"
293,"Leon: The Professional (Leon) (Professional, The) (1994)","Crime",1994,"France","Luc Besson"
294,"Perez Family, The (1995)","Comedy",1995,"USA","Mira Nair"
296,"Pulp Fiction (1994)","Crime",1994,"USA","Quentin Tarantino"
297,"Panther (1995)","Drama",1995,"UK","Mario Van Peebles"
298,"Pushing Hands (Tui shou) (1992)","Comedy",1992,"Taiwan","Ang Lee"
299,"Priest (1994)","Drama",1994,"UK","Antonia Bird"
300,"Quiz Show (1994)","Drama",1994,"USA","Robert Redford"
301,"Picture Bride (Bijo photo) (1994)","Drama",1994,"Japan","Kayo Hatta"
302,"Queen Margot (La Reine Margot) (1994)","Biography",1994,"France","Patrice Ch&#xE9;reau"
303,"Quick and the Dead, The (1995)","Action",1995,"USA","Sam Raimi"
304,"Roommates (1995)","Comedy",1995,"USA","Peter Yates"
305,"Ready to Wear (Pret-A-Porter) (1994)","Comedy",1994,"USA","Robert Altman"
306,"Three Colors: Red (Trois couleurs: Rouge) (1994)","Drama",1994,"France","Krzysztof Kieslowski"
307,"Three Colors: Blue (Trois couleurs: Bleu) (1993)","Drama",1993,"France","Krzysztof Kieslowski"
308,"Three Colors: White (Trois couleurs: Blanc) (1994)","Comedy",1994,"France","Krzysztof Kieslowski"
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)","Drama",1994,"China","Ping He"
310,"Rent-a-Kid (1995)","Drama",1995,"USA","Fred Gerber"
311,"Relative Fear (1994)","Drama",1994,"Canada","George Mihalka"
312,"Stuart Saves His Family (1995)","Comedy",1995,"Germany","Harold Ramis"
313,"Swan Princess, The (1994)","Animation",1994,"USA","Richard Rich"
314,"Secret of Roan Inish, The (1994)","Drama",1994,"USA","John Sayles"
315,"Specialist, The (1994)","Action",1994,"Peru","Luis Llosa"
316,"Stargate (1994)","Fantasy",1994,"France","Roland Emmerich"
317,"Santa Clause, The (1994)","Comedy",1994,"USA","John Pasquin"
318,"Shawshank Redemption, The (1994)","Crime",1994,"USA","Frank Darabont"
319,"Shallow Grave (1994)","Comedy",1994,"UK","Danny Boyle"
320,"Suture (1993)","Drama",1993,"USA","Scott McGehee"
321,"Strawberry and Chocolate (Fresa y chocolate) (1993)","Drama",1993,"Cuba","Tom&#xE1;s Guti&#xE9;rrez Alea"
322,"Swimming with Sharks (1995)","Comedy",1995,"USA","George Huang"
324,"Sum of Us, The (1994)","Comedy",1994,"Australia","Geoff Burton"
326,"To Live (Huozhe) (1994)","Drama",1994,"China","Yimou Zhang"
327,"Tank Girl (1995)","Action",1995,"USA","Rachel Talalay"
328,"Tales from the Crypt Presents: Demon Knight (1995)","Horror",1995,"USA","Ernest R. Dickerson"
329,"Star Trek: Generations (1994)","Action",1994,"USA","David Carson"
330,"Tales from the Hood (1995)","Horror",1995,"USA","Rusty Cundieff"
331,"Tom & Viv (1994)","Biography",1994,"UK","Brian Gilbert"
332,"Village of the Damned (1995)","Horror",1995,"USA","John Carpenter"
333,"Tommy Boy (1995)","Adventure",1995,"USA","Peter Segal"
334,"Vanya on 42nd Street (1994)","Comedy",1994,"USA","Louis Malle"
335,"Underneath (1995)","Crime",1995,"USA","Steven Soderbergh"
336,"Walking Dead, The (1995)","Drama",1995,"USA","Preston A. Whitmore II"
338,"Virtuosity (1995)","Action",1995,"USA","Brett Leonard"
339,"While You Were Sleeping (1995)","Comedy",1995,"USA","Jon Turteltaub"
341,"Double Happiness (1994)","Drama",1994,"Canada","Mina Shum"
343,"Baby-Sitters Club, The (1995)","Comedy",1995,"USA","Melanie Mayron"
344,"Ace Ventura: Pet Detective (1994)","Action",1994,"USA","Tom Shadyac"
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy",1994,"Australia","Stephan Elliott"
346,"Backbeat (1993)","Biography",1993,"UK","Iain Softley"
347,"Bitter Moon (1992)","Drama",1992,"France","Roman Polanski"
348,"Bullets Over Broadway (1994)","Comedy",1994,"USA","Woody Allen"
349,"Clear and Present Danger (1994)","Action",1994,"USA","Phillip Noyce"
350,"Client, The (1994)","Thriller",1994,"USA","Joel Schumacher"
351,"Corrina, Corrina (1994)","Comedy",1994,"USA","Jessie Nelson"
352,"Crooklyn (1994)","Comedy",1994,"USA","Spike Lee"
353,"Crow, The (1994)","Action",1994,"USA","Alex Proyas"
354,"Cobb (1994)","Biography",1994,"USA","Ron Shelton"
355,"Flintstones, The (1994)","Comedy",1994,"USA","Brian Levant"
356,"Forrest Gump (1994)","Drama",1994,"USA","Robert Zemeckis"
357,"Four Weddings and a Funeral (1994)","Comedy",1994,"UK","Mike Newell"
358,"Higher Learning (1995)","Drama",1995,"USA","John Singleton"
359,"I Like It Like That (1994)","Comedy",1994,"USA","Darnell Martin"
360,"I Love Trouble (1994)","Action",1994,"USA","Charles Shyer"
361,"It Could Happen to You (1994)","Comedy",1994,"USA","Andrew Bergman"
362,"Jungle Book, The (1994)","Family",1994,"USA","Stephen Sommers"
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)","Documentary",1993,"France","Ray M&#xFC;ller"
364,"Lion King, The (1994)","Animation",1994,"USA","Roger Allers"
365,"Little Buddha (1993)","Drama",1993,"Italy","Bernardo Bertolucci"
367,"Mask, The (1994)","Action",1994,"USA","Chuck Russell"
368,"Maverick (1994)","Adventure",1994,"USA","Richard Donner"
369,"Mrs. Parker and the Vicious Circle (1994)","Biography",1994,"USA","Alan Rudolph"
370,"Naked Gun 33 1/3: The Final Insult (1994)","Action",1994,"USA","Peter Segal"
371,"Paper, The (1994)","Comedy",1994,"USA","Ron Howard"
372,"Reality Bites (1994)","Comedy",1994,"USA","Ben Stiller"
373,"Red Rock West (1992)","Crime",1992,"USA","John Dahl"
374,"Richie Rich (1994)","Comedy",1994,"USA","Donald Petrie"
375,"Safe Passage (1994)","Drama",1994,"USA","Robert Allan Ackerman"
376,"River Wild, The (1994)","Action",1994,"USA","Curtis Hanson"
377,"Speed (1994)","Action",1994,"USA","Jan de Bont"
378,"Speechless (1994)","Comedy",1994,"USA","Ron Underwood"
379,"Timecop (1994)","Thriller",1994,"Canada","Peter Hyams"
380,"True Lies (1994)","Action",1994,"USA","James Cameron"
381,"When a Man Loves a Woman (1994)","Drama",1994,"USA","Luis Mandoki"
382,"Wolf (1994)","Drama",1994,"USA","Mike Nichols"
383,"Wyatt Earp (1994)","Action",1994,"USA","Lawrence Kasdan"
384,"Bad Company (1995)","Crime",1995,"USA","Damian Harris"
385,"Man of No Importance, A (1994)","Comedy",1994,"Ireland","Suri Krishnamma"
386,"S.F.W. (1994)","Comedy",1994,"USA","Jefery Levy"
387,"Low Down Dirty Shame, A (1994)","Action",1994,"USA","Keenen Ivory Wayans"
388,"Boys Life (1995)","Drama",1995,"USA","Robert Lee King"
389,"Colonel Chabert, Le (1994)","Drama",1994,"France","Yves Angelo"
390,"Faster Pussycat! Kill! Kill! (1965)","Comedy",1965,"USA","Russ Meyer"
392,"Secret Adventures of Tom Thumb, The (1993)","Animation",1993,"UK","Dave Borthwick"
393,"Street Fighter (1994)","Action",1994,"USA","Steven E. de Souza"
394,"Coldblooded (1995)","Action",1995,"USA","Wallace Wolodarsky"
395,"Desert Winds (1995)","Drama",1995,"USA","Michael A. Nickles"
396,"Fall Time (1995)","Drama",1995,"USA","Paul Warner"
397,"Fear, The (1995)","Action",1995,"USA","Albert Pyun"
398,"Frank and Ollie (1995)","Documentary",1995,"USA","Theodore Thomas"
399,"Girl in the Cadillac (1995)","Adventure",1995,"USA","Lucas Platt"
